"Latitude","Longitude","Severity.Total.Score"
-37.735087,144.819773,113
-37.738337,144.822327,2209
-37.740675,144.824495,2209
-37.74311,144.826553,2209
-37.74517,144.828281,2209
-37.74759,144.82825,2209
-37.7473,144.82617,2209
-38.189389,146.29193,2022
-38.238325,146.388941,2975
-38.237978,146.393402,2975
-38.183028,146.251615,2022
-38.18189,146.274741,2022
-38.198872,146.519542,3390
-38.197169,146.522852,3390
-38.19485,146.545081,3390
-38.194739,146.545428,3390
-38.237441,146.390305,2975
-38.309595,146.424616,326
-38.189123,146.258511,2022
-38.191543,146.257182,2022
-38.184617,146.243978,2022
-38.184637,146.248131,2022
-38.310101,146.424593,326
-38.162145,146.364182,2022
-38.162013,146.366458,2022
-38.162481,146.364406,2022
-38.186902,146.296133,2022
-38.175976,146.294837,2022
-38.174883,146.29072,2022
-38.249952,146.435761,2975
-38.163054,146.390633,2975
-38.162855,146.3899,2975
-38.200833,146.561111,3390
-38.201944,146.559444,3390
-38.201111,146.556667,3390
-38.173888,146.286427,2022
-38.173875,146.286811,2022
-38.199624,146.57339,3390
-38.312641,146.420416,326
-38.179582,146.550437,3390
-38.178917,146.285041,2022
-38.184571,146.533659,3390
-38.299375,146.545373,3390
-38.209236,146.520443,3390
-38.194761,146.55209,3390
-38.18519,146.2668,2022
-38.17634,146.26185,2022
-38.137843,145.169968,5409
-38.136528,145.169142,5409
-38.13665,145.165543,5409
-38.138018,145.163232,5409
-38.14186,145.13756,5409
-38.131619,145.133691,7567
-38.1427,145.1258,5409
-38.144878,145.123653,5409
-38.124243,145.15074,572
-38.137663,145.128246,7567
-38.136562,145.129198,7567
-38.136225,145.129214,7567
-38.133857,145.130246,7567
-38.13397,145.130314,7567
-38.130962,145.131498,7567
-38.131091,145.131566,7567
-38.127932,145.134843,5409
-38.118698,145.149695,572
-38.09856,145.184832,847
-38.098615,145.184898,847
-38.095495,145.18684,847
-38.095577,145.187168,847
-38.091593,145.187463,847
-38.08882,145.188047,847
-38.08702,145.188357,847
-38.087032,145.188492,847
-38.086425,145.186777,847
-38.086335,145.18683,847
-38.086705,145.189502,847
-38.087118,145.193338,847
-38.087548,145.19667,847
-38.087828,145.199132,847
-38.092586,145.199011,847
-38.119502,145.150508,572
-38.101685,145.183686,847
-38.101627,145.183691,847
-38.132007,145.124997,7567
-38.105981,145.140207,1046
-38.104397,145.140477,1046
-38.100726,145.144841,1046
-37.92626,145.02809,1022
-37.929942,145.031661,1022
-37.931129,145.032754,1022
-37.88464,145.03703,740
-37.88007,145.0348,582
-37.935003,145.056095,509
-37.932154,145.056644,509
-37.926689,145.057721,509
-37.924149,145.05826,509
-37.921193,145.05988,509
-37.919717,145.061979,509
-37.916498,145.06302,509
-37.917254,145.066885,509
-37.915509,145.067241,509
-37.913793,145.067572,509
-37.911564,145.068012,509
-37.909351,145.06853,1305
-37.907726,145.068929,1305
-37.905922,145.065661,1305
-37.903871,145.064751,1305
-37.902101,145.064123,1305
-37.89905,145.06472,740
-37.895825,145.065301,740
-37.89424,145.065601,740
-37.89297,145.06586,740
-37.887061,145.066944,740
-37.934479,145.056586,509
-37.929787,145.066457,509
-37.923551,145.077954,509
-37.923391,145.076473,509
-37.922917,145.072556,509
-37.922604,145.07004,509
-37.922218,145.066982,509
-37.89369,145.0157,165
-37.89447,145.02027,165
-37.89521,145.0229,343
-37.895507,145.024628,343
-37.895809,145.02696,343
-37.896093,145.027948,343
-37.89631,145.02977,343
-38.16247,145.92729,1030
-38.15877,145.92272,1030
-38.15174,145.92416,1030
-38.14823,145.92919,1030
-38.13964,145.92936,1030
-38.14543,145.93005,1030
-38.14906,145.92938,1030
-38.15171,145.93127,1030
-38.15295,145.93518,1030
-38.15565,145.9325,1030
-38.15826,145.93044,1030
-38.1597,145.92266,1030
-38.15506,145.91463,1030
-38.14906,145.90552,390
-38.14509,145.89479,390
-38.14135,145.87207,390
-38.14083,145.85582,390
-38.14481,145.85039,390
-38.14253,145.84493,390
-38.1397,145.84595,390
-38.13989,145.85284,390
-38.13975,145.85051,390
-38.13773,145.8541,390
-38.13701,145.84864,390
-38.13537,145.84293,390
-38.13147,145.84381,390
-38.1307,145.8466,390
-38.13275,145.84992,390
-38.13624,145.85356,390
-38.12445,145.84594,390
-38.1268,145.84667,390
-38.1298,145.85444,390
-38.12645,145.85843,390
-38.12698,145.86321,390
-38.1308,145.86391,390
