Postcode,Severity Total Score,lat,lon
3070,729,-37.77444800000001,145.001011
3071,430,-37.75504,144.99858899999998
3072,2189,-37.74092,145.01199660000003
3073,1738,-37.714342599999995,144.9985732
3074,1220,-37.680338,145.01428700000002
3075,705,-37.669499,145.01691399999999
3076,1669,-37.638363,145.009493
3078,400,-37.7788565,145.0248195
3079,442,-37.75519166666667,145.03967366666666
3081,1083,-37.74784233333333,145.04524066666667
3082,1161,-37.667957,145.060693
3083,981,-37.712237333333334,145.05136066666668
3084,834,-37.7490468,145.0769502
3085,185,-37.729958,145.06976133333333
3087,163,-37.7054415,145.08334200000002
3088,541,-37.70156333333333,145.11800200000002
3089,313,-37.642629,145.217595
3090,98,-37.671565,145.124024
3091,27,-37.639769,145.13266299999998
3093,52,-37.730758,145.08811799999998
3094,116,-37.715294,145.12158300000002
3095,609,-37.703814,145.158893
3096,45,-37.670101,145.190928
3097,7,-37.686614666666664,145.25206266666666
3099,59,-37.599957,145.21486339999998
3101,480,-37.8032395,145.0493245
3102,72,-37.796246000000004,145.049017
3103,117,-37.8085065,145.08950049999999
3104,159,-37.79489099999999,145.0850805
3105,110,-37.768553999999995,145.079543
3106,153,-37.768882,145.117873
3107,187,-37.7563,145.102997
3108,498,-37.783031,145.122517
3109,446,-37.786194333333334,145.17453766666665
3111,142,-38.183899,144.468019
3113,91,-37.7343365,145.22221100000002
3114,34,-37.778442,145.214586
3115,22,-37.738665999999995,145.270483
3116,332,-37.750325,145.326463
3121,3286,-37.82317885714286,145.00038285714285
3122,758,-37.831373,145.03069100000002
3123,204,-37.8071875,145.0233215
3124,478,-37.834050166666664,145.07013533333335
3125,307,-37.84422566666667,145.12133233333336
3126,127,-37.832222,145.083819
3127,122,-37.82686566666667,145.09964133333332
3128,1176,-37.8298176,145.1193416
3129,148,-37.804925,145.12511066666667
3130,356,-37.820646249999996,145.1494935
3131,466,-37.830505,145.17540033333333
3132,438,-37.820023666666664,145.18817933333335
3133,289,-37.846441,145.1891135
3134,2265,-37.783609999999996,145.23630875
3135,561,-37.821428,145.24618999999998
3136,1443,-37.788956999999996,145.28010675
3137,385,-37.8159215,145.307483
3138,496,-37.774337,145.32995400000001
3139,153,-37.7895826,145.51605060000003
3140,807,-37.755519,145.347707
3141,1352,-37.414034,144.52723049999997
3142,264,-37.842269,145.0098725
3143,175,-37.8440925,145.012883
3144,292,-37.85299366666667,145.03237566666667
3145,781,-37.87450125,145.05447750000002
3146,274,-37.854687,145.067215
3147,312,-37.864039500000004,145.0862405
3148,523,-37.88232233333333,145.085547
3149,445,-37.882112666666664,145.138315
3150,1067,-37.89349,145.1774405
3151,194,-37.8554435,145.14444400000002
3152,961,-37.862039333333335,145.2351166666667
3153,872,-37.83578,145.27091000000001
3154,160,-37.851467,145.30713300000002
3155,1155,-37.861504,145.27576200000001
3156,983,-37.9040528,145.29483480000002
3158,96,-37.903672,145.33131
3159,28,-37.9182525,145.38778100000002
3160,334,-37.92071375,145.35193175
3161,343,-37.9675645,145.16665899999998
3162,588,-37.884700333333335,145.01980133333333
3163,736,-37.889755,145.05544633333332
3165,509,-37.924076,145.0661255
3166,858,-37.90125875,145.093269
3167,296,-37.926986,145.0964
3168,1043,-37.91354200000001,145.132719
3169,449,-37.94022150000001,145.1145325
3170,621,-37.896035499999996,145.1460235
3171,1370,-37.960916,145.1527295
3172,288,-37.9721765,145.13421999999997
3173,690,-37.989707,145.14903700000002
3174,1745,-37.95561133333333,145.18264466666668
3175,7581,-38.02040066666667,145.18893650000004
3177,884,-37.996477999999996,145.2452145
3178,668,-37.928005,145.235811
3179,109,-37.864883,145.26426999999998
3180,132,-37.888895,145.24838300000002
3181,2882,-37.853710666666665,145.00849333333335
3182,3864,-37.864237,144.97566849999998
3183,809,-37.8677405,144.9977625
3184,419,-37.885473000000005,144.99069
3185,472,-37.886110333333335,145.00186533333334
3186,507,-37.91229933333333,144.99680233333333
3187,165,-37.9029695,145.00964649999997
3188,612,-37.915811500000004,145.012888
3189,485,-38.273966,145.30904400000003
3190,525,-37.947848,145.034294
3191,345,-37.952493,145.012316
